original_name,standard_name,category,frequency,is_target,is_yoy,is_cumulative,leading_indicator,data_quality,notes
CPI_同比,CPI_YoY,价格,monthly,False,True,True,False,high,
PPI_同比,PPI_YoY,价格,monthly,False,True,True,False,high,
工业增加值_同比增速,Industrial_VA_YoY,工业,monthly,False,True,True,False,high,
固定资产投资_同比增速,FAI_YoY,投资,monthly,False,True,True,False,high,
社会消费品零售总额_同比增速,Retail_Sales_YoY,消费,monthly,False,True,True,False,high,
M2_同比增速,M2_YoY,金融,monthly,False,True,True,True,high,
全社会用电量_同比增速,Electricity_Consumption_YoY,能源,monthly,False,True,True,True,high,
出口_同比增速,Export_YoY,外贸,monthly,False,True,True,False,high,
GDP_同比增速,GDP_YoY,GDP,quarterly,True,True,True,False,high,
第一产业增加值_同比增速,Primary_Industry_YoY,GDP,quarterly,False,True,True,False,high,
第二产业增加值_同比增速,Secondary_Industry_YoY,GDP,quarterly,False,True,True,False,high,
第三产业增加值_同比增速,Tertiary_Industry_YoY,GDP,quarterly,False,True,True,False,high,
PMI_PMI,PMI,PMI,monthly,False,True,True,True,high,
PMI_生产,PMI_Production,PMI,monthly,False,True,True,True,high,
PMI_新订单,PMI_NewOrders,PMI,monthly,False,True,True,True,high,
