date,region,indicator_name,indicator_value,frequency,unit,source_name,source_url,note
2020-01-31,四川省,工业增加值_同比增速,8.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-01-31,四川省,固定资产投资_同比增速,5.7,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-01-31,四川省,社会消费品零售总额_同比增速,9.1,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-01-31,四川省,CPI_同比,99.7,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-02-29,四川省,工业增加值_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-02-29,四川省,固定资产投资_同比增速,3.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-02-29,四川省,社会消费品零售总额_同比增速,6.1,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-02-29,四川省,CPI_同比,100.8,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-03-31,四川省,工业增加值_同比增速,8.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-03-31,四川省,固定资产投资_同比增速,3.2,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-03-31,四川省,社会消费品零售总额_同比增速,8.7,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-03-31,四川省,CPI_同比,101.9,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-04-30,四川省,工业增加值_同比增速,7.8,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-04-30,四川省,固定资产投资_同比增速,8.8,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-04-30,四川省,社会消费品零售总额_同比增速,5.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-04-30,四川省,CPI_同比,98.8,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-05-31,四川省,工业增加值_同比增速,3.4,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-05-31,四川省,固定资产投资_同比增速,8.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-05-31,四川省,社会消费品零售总额_同比增速,8.3,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-05-31,四川省,CPI_同比,100.2,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-06-30,四川省,工业增加值_同比增速,7.6,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-06-30,四川省,固定资产投资_同比增速,2.7,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-06-30,四川省,社会消费品零售总额_同比增速,11.9,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-06-30,四川省,CPI_同比,100.5,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-07-31,四川省,工业增加值_同比增速,7.2,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-07-31,四川省,固定资产投资_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-07-31,四川省,社会消费品零售总额_同比增速,8.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-07-31,四川省,CPI_同比,100.6,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-08-31,四川省,工业增加值_同比增速,5.4,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-08-31,四川省,固定资产投资_同比增速,5.9,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-08-31,四川省,社会消费品零售总额_同比增速,10.8,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-08-31,四川省,CPI_同比,101.9,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-09-30,四川省,工业增加值_同比增速,10.2,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-09-30,四川省,固定资产投资_同比增速,4.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-09-30,四川省,社会消费品零售总额_同比增速,5.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-09-30,四川省,CPI_同比,100.1,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-10-31,四川省,工业增加值_同比增速,7.1,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-10-31,四川省,固定资产投资_同比增速,7.2,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-10-31,四川省,社会消费品零售总额_同比增速,3.6,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-10-31,四川省,CPI_同比,102.1,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-11-30,四川省,工业增加值_同比增速,6.7,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-11-30,四川省,固定资产投资_同比增速,4.1,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-11-30,四川省,社会消费品零售总额_同比增速,5.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-11-30,四川省,CPI_同比,98.3,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2020-12-31,四川省,工业增加值_同比增速,8.6,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2020-12-31,四川省,固定资产投资_同比增速,5.1,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2020-12-31,四川省,社会消费品零售总额_同比增速,4.4,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2020-12-31,四川省,CPI_同比,98.7,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-01-31,四川省,工业增加值_同比增速,6.3,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-01-31,四川省,固定资产投资_同比增速,8.3,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-01-31,四川省,社会消费品零售总额_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-01-31,四川省,CPI_同比,98.5,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-02-28,四川省,工业增加值_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-02-28,四川省,固定资产投资_同比增速,4.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-02-28,四川省,社会消费品零售总额_同比增速,1.6,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-02-28,四川省,CPI_同比,100.2,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-03-31,四川省,工业增加值_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-03-31,四川省,固定资产投资_同比增速,6.4,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-03-31,四川省,社会消费品零售总额_同比增速,10.7,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-03-31,四川省,CPI_同比,101.7,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-04-30,四川省,工业增加值_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-04-30,四川省,固定资产投资_同比增速,2.8,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-04-30,四川省,社会消费品零售总额_同比增速,12.1,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-04-30,四川省,CPI_同比,100.4,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-05-31,四川省,工业增加值_同比增速,7.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-05-31,四川省,固定资产投资_同比增速,5.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-05-31,四川省,社会消费品零售总额_同比增速,7.4,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-05-31,四川省,CPI_同比,100.1,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-06-30,四川省,工业增加值_同比增速,5.9,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-06-30,四川省,固定资产投资_同比增速,3.9,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-06-30,四川省,社会消费品零售总额_同比增速,6.9,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-06-30,四川省,CPI_同比,99.6,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-07-31,四川省,工业增加值_同比增速,5.6,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-07-31,四川省,固定资产投资_同比增速,5.2,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-07-31,四川省,社会消费品零售总额_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-07-31,四川省,CPI_同比,102.1,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-08-31,四川省,工业增加值_同比增速,1.7,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-08-31,四川省,固定资产投资_同比增速,7.2,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-08-31,四川省,社会消费品零售总额_同比增速,9.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-08-31,四川省,CPI_同比,97.8,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-09-30,四川省,工业增加值_同比增速,6.3,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-09-30,四川省,固定资产投资_同比增速,4.3,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-09-30,四川省,社会消费品零售总额_同比增速,4.2,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-09-30,四川省,CPI_同比,99.4,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-10-31,四川省,工业增加值_同比增速,4.8,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-10-31,四川省,固定资产投资_同比增速,8.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-10-31,四川省,社会消费品零售总额_同比增速,8.9,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-10-31,四川省,CPI_同比,101.8,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-11-30,四川省,工业增加值_同比增速,8.4,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-11-30,四川省,固定资产投资_同比增速,2.7,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-11-30,四川省,社会消费品零售总额_同比增速,6.0,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
2021-11-30,四川省,CPI_同比,100.9,monthly,上年同月=100,四川省统计局,https://tjj.sc.gov.cn/,居民消费价格指数
2021-12-31,四川省,工业增加值_同比增速,4.6,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,规模以上工业增加值累计增速
2021-12-31,四川省,固定资产投资_同比增速,6.4,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,固定资产投资(不含农户)累计增速
2021-12-31,四川省,社会消费品零售总额_同比增速,6.5,monthly,%,四川省统计局,https://tjj.sc.gov.cn/,累计增速
