date,indicator_name,indicator_value,region,frequency
2010-02-01,房地产开发投资_累计同比,38.1,四川省,monthly
2010-03-01,房地产开发投资_累计同比,43.0,四川省,monthly
2010-04-01,房地产开发投资_累计同比,42.9,四川省,monthly
2010-05-01,房地产开发投资_累计同比,42.1,四川省,monthly
2010-06-01,房地产开发投资_累计同比,43.7,四川省,monthly
2010-07-01,房地产开发投资_累计同比,43.6,四川省,monthly
2010-08-01,房地产开发投资_累计同比,43.5,四川省,monthly
2010-09-01,房地产开发投资_累计同比,42.7,四川省,monthly
2010-10-01,房地产开发投资_累计同比,41.5,四川省,monthly
2010-11-01,房地产开发投资_累计同比,41.6,四川省,monthly
2010-12-01,房地产开发投资_累计同比,38.2,四川省,monthly
2011-02-01,房地产开发投资_累计同比,50.7,四川省,monthly
2011-03-01,房地产开发投资_累计同比,36.0,四川省,monthly
2011-04-01,房地产开发投资_累计同比,36.0,四川省,monthly
2011-05-01,房地产开发投资_累计同比,40.4,四川省,monthly
2011-06-01,房地产开发投资_累计同比,35.7,四川省,monthly
2011-07-01,房地产开发投资_累计同比,35.4,四川省,monthly
2011-08-01,房地产开发投资_累计同比,34.1,四川省,monthly
2011-09-01,房地产开发投资_累计同比,32.3,四川省,monthly
2011-10-01,房地产开发投资_累计同比,31.5,四川省,monthly
2011-11-01,房地产开发投资_累计同比,30.4,四川省,monthly
2011-12-01,房地产开发投资_累计同比,29.3,四川省,monthly
2012-02-01,房地产开发投资_累计同比,21.0,四川省,monthly
2012-03-01,房地产开发投资_累计同比,24.4,四川省,monthly
2012-04-01,房地产开发投资_累计同比,22.9,四川省,monthly
2012-05-01,房地产开发投资_累计同比,21.9,四川省,monthly
2012-06-01,房地产开发投资_累计同比,21.3,四川省,monthly
2012-07-01,房地产开发投资_累计同比,20.6,四川省,monthly
2012-08-01,房地产开发投资_累计同比,17.5,四川省,monthly
2012-09-01,房地产开发投资_累计同比,16.1,四川省,monthly
2012-10-01,房地产开发投资_累计同比,16.5,四川省,monthly
