date,region,indicator_name,indicator_value,frequency,unit,source_name,source_url,note
2020/1/31,全国,CPI_同比,101.2,monthly,上年同月=100,国家统计局,https://data.stats.gov.cn/,居民消费价格指数
2020/1/31,全国,PPI_同比,98.1,monthly,上年同月=100,国家统计局,https://data.stats.gov.cn/,工业生产者出厂价格指数
2020/1/31,全国,工业增加值_同比增速,6.8,monthly,%,国家统计局,https://data.stats.gov.cn/,规模以上工业增加值累计增速
2020/1/31,全国,固定资产投资_同比增速,6.8,monthly,%,国家统计局,https://data.stats.gov.cn/,固定资产投资(不含农户)累计增速
2020/1/31,全国,社会消费品零售总额_同比增速,5.4,monthly,%,国家统计局,https://data.stats.gov.cn/,累计增速
2020/1/31,全国,M2_同比增速,9.6,monthly,%,中国人民银行,http://www.pbc.gov.cn/,广义货币供应量增速
2020/1/31,全国,全社会用电量_同比增速,10.7,monthly,%,国家能源局,https://www.nea.gov.cn/,累计增速
2020/1/31,全国,出口_同比增速,10.1,monthly,%,海关总署,http://www.customs.gov.cn/,人民币计价累计增速
2020/2/29,全国,CPI_同比,99.8,monthly,上年同月=100,国家统计局,https://data.stats.gov.cn/,居民消费价格指数
2020/2/29,全国,PPI_同比,100.1,monthly,上年同月=100,国家统计局,https://data.stats.gov.cn/,工业生产者出厂价格指数
2020/2/29,全国,工业增加值_同比增速,4.6,monthly,%,国家统计局,https://data.stats.gov.cn/,规模以上工业增加值累计增速
2020/2/29,全国,固定资产投资_同比增速,3.8,monthly,%,国家统计局,https://data.stats.gov.cn/,固定资产投资(不含农户)累计增速
2020/2/29,全国,社会消费品零售总额_同比增速,6.6,monthly,%,国家统计局,https://data.stats.gov.cn/,累计增速
2020/2/29,全国,M2_同比增速,7.1,monthly,%,中国人民银行,http://www.pbc.gov.cn/,广义货币供应量增速
2020/2/29,全国,全社会用电量_同比增速,0.8,monthly,%,国家能源局,https://www.nea.gov.cn/,累计增速
2020/2/29,全国,出口_同比增速,-0.5,monthly,%,海关总署,http://www.customs.gov.cn/,人民币计价累计增速
2020/3/31,全国,CPI_同比,99,monthly,上年同月=100,国家统计局,https://data.stats.gov.cn/,居民消费价格指数
2020/3/31,全国,PPI_同比,99.4,monthly,上年同月=100,国家统计局,https://data.stats.gov.cn/,工业生产者出厂价格指数
