date,indicator_name,indicator_value,region,frequency,caliber
2010-01-01,社会消费品零售总额_累计值,12718.1,全国,monthly,cum_level
2010-02-01,固定资产投资（不含农户）_累计同比_ytd_yoy,26.6,全国,monthly,ytd_yoy
2010-02-01,房地产开发投资_累计值,3143.64,全国,monthly,cum_level
2010-02-01,社会消费品零售总额_累计值,25052.3,全国,monthly,cum_level
2010-02-01,工业增加值_当月同比_mom_yoy,12.8,全国,monthly,mom_yoy
2010-03-01,固定资产投资（不含农户）_累计同比_ytd_yoy,26.4,全国,monthly,ytd_yoy
2010-03-01,房地产开发投资_累计值,6594.45,全国,monthly,cum_level
2010-03-01,社会消费品零售总额_累计值,36374.0,全国,monthly,cum_level
2010-03-01,工业增加值_当月同比_mom_yoy,18.1,全国,monthly,mom_yoy
2010-04-01,固定资产投资（不含农户）_累计同比_ytd_yoy,26.1,全国,monthly,ytd_yoy
2010-04-01,房地产开发投资_累计值,9932.05,全国,monthly,cum_level
2010-04-01,社会消费品零售总额_累计值,47884.4,全国,monthly,cum_level
2010-04-01,工业增加值_当月同比_mom_yoy,17.8,全国,monthly,mom_yoy
2010-05-01,固定资产投资（不含农户）_累计同比_ytd_yoy,25.9,全国,monthly,ytd_yoy
2010-05-01,房地产开发投资_累计值,13917.41,全国,monthly,cum_level
2010-05-01,社会消费品零售总额_累计值,60339.5,全国,monthly,cum_level
2010-05-01,工业增加值_当月同比_mom_yoy,16.5,全国,monthly,mom_yoy
2010-06-01,固定资产投资（不含农户）_累计同比_ytd_yoy,25.5,全国,monthly,ytd_yoy
2010-06-01,房地产开发投资_累计值,19747.12,全国,monthly,cum_level
2010-06-01,社会消费品零售总额_累计值,72669.4,全国,monthly,cum_level
2010-06-01,工业增加值_当月同比_mom_yoy,13.7,全国,monthly,mom_yoy
2010-07-01,固定资产投资（不含农户）_累计同比_ytd_yoy,24.9,全国,monthly,ytd_yoy
2010-07-01,房地产开发投资_累计值,23864.77,全国,monthly,cum_level
2010-07-01,社会消费品零售总额_累计值,84922.2,全国,monthly,cum_level
