日期,PMI,生产,新订单,原材料库存,从业人员,供应商配送时间,新出口订单,进口,采购量,主要原材料购进价格,出厂价格,产成品库存,在手订单,生产经营活动预期
2015-01-01,49.8,,,,,,,,,,,,,
2015-02-01,49.9,,,,,,,,,,,,,
2015-03-01,50.1,,,,,,,,,,,,,
2015-04-01,50.1,52.6,50.2,48.2,48.0,50.4,,,,,,,,
2015-05-01,50.2,52.9,50.6,48.2,48.2,50.9,,,,,,,,
2015-06-01,50.2,52.9,50.1,48.7,48.1,50.3,,,,,,,,
2015-07-01,50.0,52.4,49.9,48.4,48.0,50.4,47.9,47.8,50.3,44.7,,47.4,44.0,52.9
2015-08-01,49.7,51.7,49.7,48.3,47.9,50.6,47.7,47.2,49.4,44.9,,47.2,44.6,54.1
2015-09-01,49.8,52.3,50.2,47.5,47.9,50.8,47.9,48.1,48.6,45.8,,46.8,43.8,53.9
2015-10-01,49.8,52.2,50.3,47.2,47.8,50.6,47.4,47.5,48.8,44.4,,47.2,44.4,52.5
2015-11-01,49.6,51.9,49.8,47.1,47.6,50.6,46.4,46.7,48.3,41.1,,46.7,43.0,48.3
2015-12-01,49.7,52.2,50.2,47.6,47.4,50.7,47.5,47.6,50.3,42.4,,46.1,43.6,44.6
2016-01-01,49.4,51.4,49.5,46.8,47.8,50.5,46.9,46.4,49.0,45.1,,44.6,43.4,44.4
2016-02-01,49.0,50.2,48.6,48.0,47.6,49.8,47.4,45.8,47.9,50.2,47.3,46.4,43.9,53.3
2016-03-01,50.2,52.3,51.4,48.2,48.1,51.3,50.2,50.1,52.6,55.3,50.9,46.0,45.7,54.8
2016-04-01,50.1,52.2,51.0,47.4,47.8,50.1,50.1,49.5,51.0,57.6,51.7,45.5,44.8,55.0
2016-05-01,50.1,52.3,50.7,47.6,48.2,50.4,50.0,49.6,51.2,55.3,49.7,46.8,45.1,55.1
2016-06-01,50.0,52.5,50.5,47.0,47.9,50.7,49.6,49.1,50.5,51.3,47.0,46.5,45.0,55.2
2016-07-01,49.9,52.1,50.4,47.3,48.2,50.5,49.0,49.3,50.5,54.6,50.0,46.8,45.5,55.8
2016-08-01,50.4,52.6,51.3,47.6,48.4,50.6,49.7,49.5,52.6,57.2,52.0,46.6,45.0,56.4
2016-09-01,50.4,52.8,50.9,47.4,48.6,49.9,50.1,50.4,51.9,57.5,51.5,46.4,45.2,57.3
2016-10-01,51.2,53.3,52.8,48.1,48.8,50.2,49.2,49.9,52.4,62.6,55.5,46.9,45.8,58.2
2016-11-01,51.7,53.9,53.2,48.4,49.2,49.7,50.3,50.6,52.9,68.3,58.3,45.9,46.7,59.0
2016-12-01,51.4,53.3,53.2,48.0,48.9,50.0,50.1,50.3,52.1,69.6,58.8,44.4,46.2,58.2
2017-01-01,51.3,53.1,52.8,48.0,49.2,49.8,50.3,50.7,52.6,64.5,54.7,45.0,46.3,58.5
2017-02-01,51.6,53.7,53.0,48.6,49.7,50.5,50.8,51.2,51.4,64.2,56.3,47.6,46.0,60.0
2017-03-01,51.8,54.2,53.3,48.3,50.0,50.3,51.0,50.5,53.4,59.3,53.2,47.3,46.1,58.3
2017-04-01,51.2,53.8,52.3,48.3,49.2,50.5,50.6,50.2,51.9,51.8,48.7,48.2,45.0,56.6
2017-05-01,51.2,53.4,52.3,48.5,49.4,50.2,50.7,50.0,51.5,49.5,47.6,46.6,45.4,56.8
2017-06-01,51.7,54.4,53.1,48.6,49.0,49.9,52.0,51.2,52.5,50.4,49.1,46.3,47.2,58.7
2017-07-01,51.4,53.5,52.8,48.5,49.2,50.1,50.9,51.1,52.7,57.9,52.7,46.1,46.3,59.1
