date,region,indicator_name,indicator_value,frequency,unit,source_name,source_url,note
00:00.0,全国,CPI_同比_mean,100,quarterly,聚合值,聚合计算,-,mean aggregation from monthly data
00:00.0,全国,CPI_同比_last,99,quarterly,聚合值,聚合计算,-,last aggregation from monthly data
00:00.0,全国,CPI_同比_std,1.11,quarterly,聚合值,聚合计算,-,std aggregation from monthly data
00:00.0,全国,CPI_同比_min,99,quarterly,聚合值,聚合计算,-,min aggregation from monthly data
00:00.0,全国,CPI_同比_max,101.2,quarterly,聚合值,聚合计算,-,max aggregation from monthly data
00:00.0,全国,CPI_同比_trend,-2.2,quarterly,聚合值,聚合计算,-,trend aggregation from monthly data
00:00.0,全国,M2_同比增速_mean,8.8,quarterly,聚合值,聚合计算,-,mean aggregation from monthly data
00:00.0,全国,M2_同比增速_last,9.7,quarterly,聚合值,聚合计算,-,last aggregation from monthly data
00:00.0,全国,M2_同比增速_std,1.47,quarterly,聚合值,聚合计算,-,std aggregation from monthly data
00:00.0,全国,M2_同比增速_min,7.1,quarterly,聚合值,聚合计算,-,min aggregation from monthly data
00:00.0,全国,M2_同比增速_max,9.7,quarterly,聚合值,聚合计算,-,max aggregation from monthly data
00:00.0,全国,M2_同比增速_trend,0.1,quarterly,聚合值,聚合计算,-,trend aggregation from monthly data
00:00.0,全国,PPI_同比_mean,99.2,quarterly,聚合值,聚合计算,-,mean aggregation from monthly data
00:00.0,全国,PPI_同比_last,99.4,quarterly,聚合值,聚合计算,-,last aggregation from monthly data
00:00.0,全国,PPI_同比_std,1.01,quarterly,聚合值,聚合计算,-,std aggregation from monthly data
00:00.0,全国,PPI_同比_min,98.1,quarterly,聚合值,聚合计算,-,min aggregation from monthly data
00:00.0,全国,PPI_同比_max,100.1,quarterly,聚合值,聚合计算,-,max aggregation from monthly data
00:00.0,全国,PPI_同比_trend,1.3,quarterly,聚合值,聚合计算,-,trend aggregation from monthly data
00:00.0,全国,全社会用电量_同比增速_mean,5.9,quarterly,聚合值,聚合计算,-,mean aggregation from monthly data
