date,region,indicator_name,indicator_value,frequency,unit,source_name,source_url,note
2020-03-31,四川省,GDP_同比增速,6.7,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2020-06-30,四川省,GDP_同比增速,7.4,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2020-09-30,四川省,GDP_同比增速,5.5,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2020-12-31,四川省,GDP_同比增速,6.4,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2021-03-31,四川省,GDP_同比增速,6.1,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2021-06-30,四川省,GDP_同比增速,6.8,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2021-09-30,四川省,GDP_同比增速,6.2,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2021-12-31,四川省,GDP_同比增速,6.7,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2022-03-31,四川省,GDP_同比增速,7.4,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2022-06-30,四川省,GDP_同比增速,7.6,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2022-09-30,四川省,GDP_同比增速,8.1,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2022-12-31,四川省,GDP_同比增速,3.6,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2023-03-31,四川省,GDP_同比增速,4.3,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2023-06-30,四川省,GDP_同比增速,3.9,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2023-09-30,四川省,GDP_同比增速,8.6,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2023-12-31,四川省,GDP_同比增速,5.7,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2024-03-31,四川省,GDP_同比增速,3.9,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2024-06-30,四川省,GDP_同比增速,6.3,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2024-09-30,四川省,GDP_同比增速,6.8,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2024-12-31,四川省,GDP_同比增速,5.7,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2025-03-31,四川省,GDP_同比增速,5.7,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2025-06-30,四川省,GDP_同比增速,7.1,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
2025-09-30,四川省,GDP_同比增速,5.1,quarterly,%,四川省统计局,https://tjj.sc.gov.cn/,地区生产总值季度增速，按不变价格计算
