date,indicator_name,indicator_value,region,frequency
2010-03-31,GDP_累计值,3451.83,四川省,quarterly
2010-06-30,GDP_累计值,7465.93,四川省,quarterly
2010-09-30,GDP_累计值,12327.58,四川省,quarterly
2010-12-31,GDP_累计值,16898.59,四川省,quarterly
2011-03-31,GDP_累计值,4257.59,四川省,quarterly
2011-06-30,GDP_累计值,9370.57,四川省,quarterly
2011-09-30,GDP_累计值,15468.28,四川省,quarterly
2011-12-31,GDP_累计值,21026.68,四川省,quarterly
2012-03-31,GDP_累计值,4943.28,四川省,quarterly
2012-06-30,GDP_累计值,10603.91,四川省,quarterly
2012-09-30,GDP_累计值,17536.51,四川省,quarterly
2012-12-31,GDP_累计值,23849.8,四川省,quarterly
2013-03-31,GDP_累计值,5436.95,四川省,quarterly
2013-06-30,GDP_累计值,11655.05,四川省,quarterly
2013-09-30,GDP_累计值,19138.94,四川省,quarterly
2013-12-31,GDP_累计值,26260.8,四川省,quarterly
2014-03-31,GDP_累计值,5878.54,四川省,quarterly
2014-06-30,GDP_累计值,12697.39,四川省,quarterly
2014-09-30,GDP_累计值,20681.54,四川省,quarterly
2014-12-31,GDP_累计值,28536.66,四川省,quarterly
2015-03-31,GDP_累计值,6234.51,四川省,quarterly
2015-06-30,GDP_累计值,13300.06,四川省,quarterly
2015-09-30,GDP_累计值,22120.37,四川省,quarterly
2015-12-31,GDP_累计值,30103.1,四川省,quarterly
2016-03-31,GDP_累计值,6703.7,四川省,quarterly
2016-06-30,GDP_累计值,14222.33,四川省,quarterly
2016-09-30,GDP_累计值,23793.6,四川省,quarterly
2016-12-31,GDP_累计值,32680.5,四川省,quarterly
2017-03-31,GDP_累计值,7552.0,四川省,quarterly
2017-06-30,GDP_累计值,16080.33,四川省,quarterly
2017-09-30,GDP_累计值,27297.19,四川省,quarterly
2017-12-31,GDP_累计值,36980.22,四川省,quarterly
2018-03-31,GDP_累计值,9330.61,四川省,quarterly
2018-06-30,GDP_累计值,19656.13,四川省,quarterly
2018-09-30,GDP_累计值,30528.77,四川省,quarterly
2018-12-31,GDP_累计值,42902.1,四川省,quarterly
2019-03-31,GDP_累计值,10203.42,四川省,quarterly
2019-06-30,GDP_累计值,21553.74,四川省,quarterly
2019-09-30,GDP_累计值,33354.88,四川省,quarterly
2019-12-31,GDP_累计值,46363.75,四川省,quarterly
2020-03-31,GDP_累计值,10144.22,四川省,quarterly
2020-06-30,GDP_累计值,22027.18,四川省,quarterly
2020-09-30,GDP_累计值,34705.86,四川省,quarterly
2020-12-31,GDP_累计值,48501.64,四川省,quarterly
2021-03-31,GDP_累计值,11879.0,四川省,quarterly
2021-06-30,GDP_累计值,25175.0,四川省,quarterly
2021-09-30,GDP_累计值,38979.0,四川省,quarterly
2021-12-31,GDP_累计值,54088.0,四川省,quarterly
2022-03-31,GDP_累计值,12802.0,四川省,quarterly
2022-06-30,GDP_累计值,26306.0,四川省,quarterly
2022-09-30,GDP_累计值,40639.0,四川省,quarterly
2022-12-31,GDP_累计值,56750.0,四川省,quarterly
2023-03-31,GDP_累计值,13375.0,四川省,quarterly
2023-06-30,GDP_累计值,27901.01,四川省,quarterly
2023-09-30,GDP_累计值,43386.98,四川省,quarterly
2023-12-31,GDP_累计值,60132.9,四川省,quarterly
2024-03-31,GDP_累计值,14142.58,四川省,quarterly
2024-06-30,GDP_累计值,29463.29,四川省,quarterly
2024-09-30,GDP_累计值,45441.82,四川省,quarterly
2024-12-31,GDP_累计值,64697.0,四川省,quarterly
2025-03-31,GDP_累计值,15246.92,四川省,quarterly
2025-06-30,GDP_累计值,31918.16,四川省,quarterly
2025-09-30,GDP_累计值,49322.22,四川省,quarterly
2025-12-31,GDP_累计值,67665.34,四川省,quarterly
2010-03-31,GDP_同比增速,17.700000000000003,四川省,quarterly
2010-06-30,GDP_同比增速,16.299999999999997,四川省,quarterly
2010-09-30,GDP_同比增速,15.200000000000003,四川省,quarterly
2010-12-31,GDP_同比增速,15.099999999999994,四川省,quarterly
2011-03-31,GDP_同比增速,15.0,四川省,quarterly
2011-06-30,GDP_同比增速,14.799999999999997,四川省,quarterly
2011-09-30,GDP_同比增速,14.700000000000003,四川省,quarterly
2011-12-31,GDP_同比增速,15.0,四川省,quarterly
2012-03-31,GDP_同比增速,13.099999999999994,四川省,quarterly
2012-06-30,GDP_同比增速,13.0,四川省,quarterly
2012-09-30,GDP_同比增速,12.799999999999997,四川省,quarterly
2012-12-31,GDP_同比增速,12.599999999999994,四川省,quarterly
2013-03-31,GDP_同比增速,10.200000000000003,四川省,quarterly
2013-06-30,GDP_同比增速,10.099999999999994,四川省,quarterly
2013-09-30,GDP_同比增速,10.0,四川省,quarterly
2013-12-31,GDP_同比增速,10.0,四川省,quarterly
2014-03-31,GDP_同比增速,8.099999999999994,四川省,quarterly
2014-06-30,GDP_同比增速,8.5,四川省,quarterly
2014-09-30,GDP_同比增速,8.5,四川省,quarterly
2014-12-31,GDP_同比增速,8.5,四川省,quarterly
2015-03-31,GDP_同比增速,7.400000000000006,四川省,quarterly
2015-06-30,GDP_同比增速,8.0,四川省,quarterly
2015-09-30,GDP_同比增速,8.0,四川省,quarterly
2015-12-31,GDP_同比增速,7.900000000000006,四川省,quarterly
2016-03-31,GDP_同比增速,7.400000000000006,四川省,quarterly
2016-06-30,GDP_同比增速,7.5,四川省,quarterly
2016-09-30,GDP_同比增速,7.5,四川省,quarterly
2016-12-31,GDP_同比增速,7.700000000000003,四川省,quarterly
2017-03-31,GDP_同比增速,8.200000000000003,四川省,quarterly
2017-06-30,GDP_同比增速,8.200000000000003,四川省,quarterly
2017-09-30,GDP_同比增速,8.099999999999994,四川省,quarterly
2017-12-31,GDP_同比增速,8.099999999999994,四川省,quarterly
2018-03-31,GDP_同比增速,8.200000000000003,四川省,quarterly
2018-06-30,GDP_同比增速,8.200000000000003,四川省,quarterly
2018-09-30,GDP_同比增速,8.099999999999994,四川省,quarterly
2018-12-31,GDP_同比增速,8.0,四川省,quarterly
2019-03-31,GDP_同比增速,7.700000000000003,四川省,quarterly
2019-06-30,GDP_同比增速,7.799999999999997,四川省,quarterly
2019-09-30,GDP_同比增速,7.700000000000003,四川省,quarterly
2019-12-31,GDP_同比增速,7.400000000000006,四川省,quarterly
2020-03-31,GDP_同比增速,-2.9000000000000057,四川省,quarterly
2020-06-30,GDP_同比增速,0.5999999999999943,四川省,quarterly
2020-09-30,GDP_同比增速,2.4000000000000057,四川省,quarterly
2020-12-31,GDP_同比增速,3.799999999999997,四川省,quarterly
2021-03-31,GDP_同比增速,15.900000000000006,四川省,quarterly
2021-06-30,GDP_同比增速,12.200000000000003,四川省,quarterly
2021-09-30,GDP_同比增速,9.299999999999997,四川省,quarterly
2021-12-31,GDP_同比增速,8.200000000000003,四川省,quarterly
2022-03-31,GDP_同比增速,5.299999999999997,四川省,quarterly
2022-06-30,GDP_同比增速,2.799999999999997,四川省,quarterly
2022-09-30,GDP_同比增速,1.5,四川省,quarterly
2022-12-31,GDP_同比增速,2.9000000000000057,四川省,quarterly
2023-03-31,GDP_同比增速,3.799999999999997,四川省,quarterly
2023-06-30,GDP_同比增速,5.5,四川省,quarterly
2023-09-30,GDP_同比增速,6.5,四川省,quarterly
2023-12-31,GDP_同比增速,6.0,四川省,quarterly
2024-03-31,GDP_同比增速,6.099999999999994,四川省,quarterly
2024-06-30,GDP_同比增速,5.400000000000006,四川省,quarterly
2024-09-30,GDP_同比增速,5.299999999999997,四川省,quarterly
2024-12-31,GDP_同比增速,5.700000000000003,四川省,quarterly
2025-03-31,GDP_同比增速,5.5,四川省,quarterly
2025-06-30,GDP_同比增速,5.599999999999994,四川省,quarterly
2025-09-30,GDP_同比增速,5.5,四川省,quarterly
2025-12-31,GDP_同比增速,5.5,四川省,quarterly
